variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_21394	1.18E-01	8.91E-02	9.90E-01	1.18E-03	9.19E-02	7.47E-04	
group_21043	1.14E-01	1.11E-01	8.38E-01	1.63E-02	7.94E-02	1.19E-02	
group_21042	1.14E-01	1.11E-01	8.38E-01	1.63E-02	7.94E-02	1.19E-02	
group_20442	1.18E-01	4.35E-03	4.98E-02	-1.56E-01	7.92E-02	1.14E-01	
hemJ	1.18E-01	6.26E-05	9.28E-01	-3.99E-02	4.40E-01	5.28E-03	bad-chisq
group_19804	1.11E-01	1.37E-01	9.34E-01	-6.78E-03	8.20E-02	4.81E-03	
group_19750	1.18E-01	6.26E-05	9.28E-01	-3.99E-02	4.40E-01	5.28E-03	bad-chisq
dodA	1.18E-01	6.26E-05	9.28E-01	-3.99E-02	4.40E-01	5.28E-03	bad-chisq
group_19519	1.18E-01	4.35E-03	8.44E-01	4.17E-02	2.12E-01	1.15E-02	
group_19112	1.18E-01	6.26E-05	9.44E-01	-2.22E-02	3.17E-01	4.08E-03	bad-chisq
group_19001	1.18E-01	6.26E-05	9.33E-01	-2.79E-02	3.33E-01	4.88E-03	bad-chisq
group_18973	1.18E-01	6.26E-05	9.44E-01	-2.22E-02	3.17E-01	4.08E-03	bad-chisq
group_18940	1.18E-01	6.26E-05	9.44E-01	-2.22E-02	3.17E-01	4.08E-03	bad-chisq
group_18838	1.18E-01	6.26E-05	9.44E-01	-2.22E-02	3.17E-01	4.08E-03	bad-chisq
uspA~~~teaD	1.18E-01	6.26E-05	9.28E-01	-3.99E-02	4.40E-01	5.28E-03	bad-chisq
group_18532	1.18E-01	6.26E-05	9.47E-01	-2.03E-02	3.07E-01	3.85E-03	bad-chisq
group_18308	1.14E-01	4.73E-02	2.39E-01	-1.10E-01	9.34E-02	6.85E-02	
group_18120	1.14E-01	4.73E-02	2.39E-01	-1.10E-01	9.34E-02	6.85E-02	
group_18119	1.14E-01	4.73E-02	2.39E-01	-1.10E-01	9.34E-02	6.85E-02	
group_18114	1.18E-01	6.26E-05	9.33E-01	-3.74E-02	4.41E-01	4.93E-03	bad-chisq
yccS~~~yccC	1.18E-01	6.26E-05	9.49E-01	-2.08E-02	3.25E-01	3.73E-03	bad-chisq
group_17858	1.18E-01	6.26E-05	9.33E-01	-3.74E-02	4.41E-01	4.93E-03	bad-chisq
group_17857	1.14E-01	4.73E-02	2.39E-01	-1.10E-01	9.34E-02	6.85E-02	
group_17856	1.14E-01	4.73E-02	2.39E-01	-1.10E-01	9.34E-02	6.85E-02	
rocD	1.18E-01	6.26E-05	9.28E-01	-3.99E-02	4.40E-01	5.28E-03	bad-chisq
group_17524	1.14E-01	4.73E-02	2.39E-01	-1.10E-01	9.34E-02	6.85E-02	
intS	1.14E-01	2.28E-01	7.32E-01	2.78E-02	8.11E-02	2.00E-02	
group_17138	1.18E-01	1.21E-03	2.40E-01	-2.38E-01	2.03E-01	6.83E-02	
group_17041	1.14E-01	4.73E-02	2.39E-01	-1.10E-01	9.34E-02	6.85E-02	
group_17040	1.14E-01	4.73E-02	2.39E-01	-1.10E-01	9.34E-02	6.85E-02	
group_16760	1.14E-01	4.73E-02	2.39E-01	-1.10E-01	9.34E-02	6.85E-02	
group_16573	1.18E-01	4.35E-03	7.75E-01	-7.08E-02	2.48E-01	1.66E-02	
yecD	1.18E-01	4.35E-03	6.88E-01	-4.01E-02	9.97E-02	2.34E-02	
group_16261	1.18E-01	3.51E-01	9.55E-01	-4.51E-03	7.91E-02	3.32E-03	
group_16134	1.18E-01	8.27E-01	1.90E-01	1.04E-01	7.90E-02	7.63E-02	
cidA~~~yohJ	1.18E-01	6.26E-05	9.28E-01	-3.99E-02	4.40E-01	5.28E-03	bad-chisq
group_14345	1.18E-01	4.35E-03	8.59E-01	-4.52E-02	2.54E-01	1.04E-02	
group_14232	1.18E-01	1.21E-03	9.15E-01	-1.37E-02	1.28E-01	6.22E-03	
group_14053	1.18E-01	4.35E-03	8.59E-01	-4.52E-02	2.54E-01	1.04E-02	
group_13545	1.18E-01	4.35E-03	8.59E-01	-4.52E-02	2.54E-01	1.04E-02	
group_13433	1.18E-01	4.35E-03	8.59E-01	-4.52E-02	2.54E-01	1.04E-02	
group_13311	1.18E-01	4.35E-03	8.59E-01	-4.52E-02	2.54E-01	1.04E-02	
group_13256	1.18E-01	4.35E-03	7.36E-01	-8.32E-02	2.46E-01	1.97E-02	
group_13197	1.18E-01	3.24E-01	2.28E-01	1.12E-01	9.24E-02	7.02E-02	
group_12822	1.18E-01	4.35E-03	8.59E-01	-4.52E-02	2.54E-01	1.04E-02	
group_12633	1.18E-01	4.35E-03	8.59E-01	-4.52E-02	2.54E-01	1.04E-02	
group_12579	1.18E-01	4.35E-03	7.36E-01	-8.32E-02	2.46E-01	1.97E-02	
group_12377	1.18E-01	4.35E-03	7.75E-01	-7.08E-02	2.48E-01	1.66E-02	
group_12047	1.18E-01	4.35E-03	8.59E-01	-4.52E-02	2.54E-01	1.04E-02	
group_11747	1.18E-01	4.35E-03	7.36E-01	-8.32E-02	2.46E-01	1.97E-02	
group_11364	1.14E-01	2.28E-01	7.58E-01	2.51E-02	8.14E-02	1.79E-02	
group_10494	1.18E-01	4.35E-03	7.36E-01	-8.32E-02	2.46E-01	1.97E-02	
group_9779	1.18E-01	6.26E-05	9.21E-01	-4.15E-02	4.15E-01	5.81E-03	bad-chisq
group_9449	1.18E-01	4.35E-03	8.59E-01	-4.52E-02	2.54E-01	1.04E-02	
